occurrences,gov_landmark,candidate_1,candidate_2,candidate_3,"stop_id (fill in, or DROP)"
2,شارع السراي,عرايس (المعادي) / Arayes (Maadi),كوبري عرابي / Kobry Orabi,ميدان سيراميكا (الشيخ زايد) / Ceramica Square - Sheikh Zayed,
2,الزلزال,العزيز بالله ( جسر السويس ) / Al Aziz Bellah (Gesr Al Suez),بلازا كلوب (العبور) / Plaza Club (Obour),,
2,شارع الروضة,الربوة (الشيخ زايد) / Al Rabwa (Sheikh Zayed),طريق العروبة (شارع الثورة) / Al Orouba Rd. & Al Thawra St.,مسجد الروضة (العبور) / Rawda Mosque (Obour),
2,جهاز المدينة,جهاز مدينة العبور / Obour City Authority,جهاز مدينة 15 مايو / 15th of May City Authority,جهاز مدينة 6 أكتوبر / 6th Of October City Authority,
2,ش الهرم,الأهرام / Al-Ahram,الهرم مشعل / Haram Mashaal,,
2,عتبه (الجراج),شارع باراجيل (الطريق الدائري) / Barageel St. (Ring Rd.),عبد الله الرفاعي / Abdullah El Refaey,هضبة الاهرام / Hadabet Al Ahram,
2,الخليفة القاهر,مدخل ليلة القدر / Laylat Al Qadr Entrance,هيئة النقل النهرى ( الزهراء ) / River Transport Authority (Zahraa),جامعة القاهرة (الشيخ زايد) / Cairo University (Sheikh Zayed),
2,العياط,,,,
2,مزغونة,طموه (أبو النمرس) / Tomwa (Abu Al Nomros),,,
2,ميدان,متسيان / Motseian,كيدز لاند (مصطفى النحاس) / Kids Land (Mostafa Al Nahas St.),نيسان (القطامية) / Nissan (Kattameya),
2,شارع الكردى,مساكن الكندي / Masaken Al Kendy,الكفر (برك الخيام) / El Kafr (Birak Al Khiyam),ميدان الدقي / Dokki Square,
2,طنان,نيسان (القطامية) / Nissan (Kattameya),ميدان لبنان / Lebanon Square,شارع البطران / El Batran St.,
2,شارع عبد هللا العربى,عبد الله العثيم (كورنيش النيل) / Abdullah Al Othaym (Nile Corniche),شارع عبد العزيز (العتبة) / Abd El Aziz St. (Ataba),عبد المنعم رياض / Abd Al Moneim Riad,
2,شهاب,الشباب (العبور) / Shabab (Obour),كوبري الخشاب / Al Khashab Bridge,هايبر (الشيخ زايد) / Hyper One (Sheikh Zayed),
2,الهجانة,هارون / Haroun,الخانكة (طريق السلام) / Al Khanka (Al Salam Rd.),الجومان / Al Juman,
2,ربيع الجيزى,الربوة (الشيخ زايد) / Al Rabwa (Sheikh Zayed),مترو الجيزة / Giza Metro,الشارع الجديد (بهتيم) / Al Shari' Al Gadeed (Bahteem),
2,كوبري الفنجرى,,,,
2,ش جهاز مدينة بدر,جهاز مدينة العبور / Obour City Authority,جهاز مدينة 6 أكتوبر / 6th Of October City Authority,جهاز مدينة شبرا الخيمة / Shubra Al Kheima City Authority,
2,مدينة معاً,مدينة المعارف / Knowledge City,مدينة الصلب (التبين) / Madinat Al Solb (Al Tibeen),مدينة الطلبة / Madinat Al Talaba,
1,الضاهر,الأهرام / Al-Ahram,,,
1,الروضة,الربوة (الشيخ زايد) / Al Rabwa (Sheikh Zayed),طريق العروبة (شارع الثورة) / Al Orouba Rd. & Al Thawra St.,مسجد الروضة (العبور) / Rawda Mosque (Obour),
1,السيد الميرغني,مسجد المشير طنطاوي / Al Mosheer Tantawy Mosque,دار المنى (طريق الاسكندرية الصحراوي) / Dar Al Mona (Alexandria Desert Rd.),مرغني / Mazghuna,
1,مروراً بميادين (الاهرام,بوابة حدائق الاهرام 3 / Hadayek Al Ahram Gate 3,بوابة الميناء 4 (حدائق الاهرام) / Mina Gate 4 (Hadayek Al Ahram),بوابة منقرع (حدائق الأهرام) / Mankaraa Gate (Hadayek Al Ahram),
1,طريق مصر السويس,جسر السويس / Suez Bridge Entrance to Ring Road,المصراوية / Masraweya,مصر السودان (مدينة نصر) / Misr Sudan (Nasr City),
1,العتبة الجراج,شارع باراجيل (الطريق الدائري) / Barageel St. (Ring Rd.),عبد الله الرفاعي / Abdullah El Refaey,هضبة الاهرام / Hadabet Al Ahram,
1,شارع 27,,,,
1,الجيزة موتسيان,متسيان / Motseian,كوتسيكا / Kozzika,خير زمان (أحمد الزمر) / Kheir Zaman (Ahmed Al Zomor St.),
1,شارع الكردي,مساكن الكندي / Masaken Al Kendy,الكفر (برك الخيام) / El Kafr (Birak Al Khiyam),ميدان الدقي / Dokki Square,
1,"الرحاب ""بوابة 13""",,,,
1,ش بورسعيد شارع نهضه مصر,ميدان بورسعيد (المعادى) / Port Said Square (Maadi),ميدان بورسعيد (المعادى) / Port Said Square (Maadi),,
1,نهضة مصر,ميدان النهضة (التجمع الخامس) / Al Nahda Square (5th Settlement),بنك مصر (عباس العقاد) / Banque Misr (Abbas Al Akkad St.),ميدان النهضة (الشروق) / Al Nahda Square (Shorouq City),
1,الكردي,مساكن الكندي / Masaken Al Kendy,الكفر (برك الخيام) / El Kafr (Birak Al Khiyam),ميدان الدقي / Dokki Square,
1,نادي السكة ميدان هشام بركات,نادي السكة الحديد الرياضي (مدينة نصر) / Al Sekka Al Hadid Sporting Club (Nasr City),نادي القوميه للأسمنت / Al Qawmeya Cement Club,نادى القاهرة شارع الاوبرا / Cairo Club (Opera St.),
1,فريد سميكة,فردوس (رود الفرج) / Ferdous (Rod Al Farag),ميدان الرماية / Al Remaya Square,,
1,عرب المساعيد,عرب المعادي / Arab Maadi,درب الساقية ( منشية ناصر ) / Darb Al Saqia (Manshiyat Nasser),عرب الطوايله / Arab Tuweila,
1,اول مكرم,مسجد ابو مكارم (الوايلي) / Abu Makarem Mosque (Al Waili),ابو النمرس / Abu El Numrus,مول مصر / Mall of Egypt,
1,بيرتي بدار,شارع الحرية (بدر) / Al Horeyya Rd. (Badr),تبارك ( شارع عمر المختار ) / Tabarak (Omar Al Mokhtar St.),ميدان بيروت ( الكوربة ) / Beirut Square (Korba),
1,ش التروللى,توليب (زهراء مدينة نصر) / Tolip (Zahraa Nasr City),ميدان البترول ( المرج) / Petroleum Square (Al Marg),مترو الدقي / Dokki Metro,
1,يوسف عباس,يوسف عباس & اوتوستراد / Yousef Abbas St & Autostrad St.,ميدان العباسية / Abbaseya Square,,
1,عبد هللا العربي,عبد الله العثيم (كورنيش النيل) / Abdullah Al Othaym (Nile Corniche),شارع عبد العزيز (العتبة) / Abd El Aziz St. (Ataba),عبد المنعم رياض / Abd Al Moneim Riad,
1,شارع لطفي السيد,نيازي سيد ( طريق المنصورية) / Neiazi Sayed (Al Mansoureyya Rd.),مستشفى الحسين ( الدراسة ) / Al Hussein Hospital (Al Darraasa),شارع الشيخ الجديد / Al Sheikh Al Jadid St.,
1,ش النيل,المنيل / Al Manial,النخل (كورنيش النيل) / Al Nakhl (Nile Corniche),بنك فيصل (شارع عثمان بن عفان) / Faisal Bank (Othman Bin Affan St.),
1,كوب ري الساحل,شارع ترعة الساحل / Al Sawahel Canal St.,شارع بورسعيد (السواح) / Port Said St. (Al Sawah),أول كوبري العباسية / Abbaseya Bridge Etrance,
1,كوبرى الفطيم,طريق الفيوم / Al Fayoum Rd.,,,
1,طريق الفنج ري,,,,
1,شارع التروللي,توليب (زهراء مدينة نصر) / Tolip (Zahraa Nasr City),ميدان البترول ( المرج) / Petroleum Square (Al Marg),مترو الدقي / Dokki Metro,
1,شارع الفنجري,,,,
1,كوب ري الفطيم,الكفر (برك الخيام) / El Kafr (Birak Al Khiyam),أول كوبري العباسية / Abbaseya Bridge Etrance,اخر كوبري العباسية / Abbaseya Bridge Exit,
1,التجمع الأول (الرحاب),مجمع الصوالحة ( شارع السكة الحديد) / Al Sawalha Complex (Al Sekka Al Hadeed St.),مجمع الواحة (الشروق) / Al Waha Compound (Shorouq City),التجمع الثالث / 3rd Settlement Station,
1,ابو رجيلة,شارع بارجيل / Barageel St.,الاباجية / Al Abageyya,ميدان بوري (التجمع الخامس) / Akhnaton Square (5th Settlement),
1,حي السفارات,السادات / Sadat,حي الوزارات (العاصمة الإدارية الجديدة) / Wizarat District (New Administrative Capital),السبع عمارات / 7 Omarat,
1,شنزو آبي,الشرابية / Sharabeya,الانابيب ( وايلي ) / Al Anabeeb - Waili,,
1,شارع الصاعقة,ميدان الساعة / Al Saa Square,الصالة 4 (مطار القاهرة) / Hall 4 (Cairo Airport),الصالة 3 (مطار القاهرة) / Hall 3 (Cairo Airport),
1,مدرسة نوال,مدرسة النصر ( الوايلي) / Al Nasr School ( Al Waili ),مدرسة الصفا (وادي حوف) / Al Safa School (Wadi Hof),مدرسة فالكون (مدينة الشروق) / Falcon School (Shorouq City),
1,ش سليم الاول,سلم الخولي (الطريق الدائري) / Al Khouly Steps (Ring Rd.),سلم الباسوس (الطريق الدائري) / Al Bassous Steps - Ring Road,سلم البراجيل (الطريق الدائري) / Al Barageel Steps (Ring Rd.),
1,ش 23 يوليو,ستاد 30 يونيو / June 30th Stadium,,,
1,حسن المأمون,سلم ابو سنه / Abo Senna Steps,نافورة امون (العبور) / Amoun Fountain (Obour),مسجد المؤمن / Al Moemen Mosque,
1,"مديرية امن القاهرة الجديدة الرحاب ""بوابة6""",أكاديمية القاهرة الجديدة / New Cairo Academy,مديرية أمن القاهرة / Cairo Security Directorate,أكاديمية الشرطة  (القاهرة الجديدة) / Police Academy (New Cairo),
1,المنهل,المنيل / Al Manial,النخل (كورنيش النيل) / Al Nakhl (Nile Corniche),المنطقة الحرة (مدينة نصر) / Free Zone (Nasr City),
1,"الرحاب ""بوابة 6 """,شرق إمبابة / East Imbaba,بوابة ٦ (الرحاب) / Rehab Gate 6,إمبابة / Imbaba,
1,الرحاب بوابة 6,شرق إمبابة / East Imbaba,بوابة ٦ (الرحاب) / Rehab Gate 6,إمبابة / Imbaba,
1,ش التروللي,توليب (زهراء مدينة نصر) / Tolip (Zahraa Nasr City),ميدان البترول ( المرج) / Petroleum Square (Al Marg),مترو الدقي / Dokki Metro,
1,شارع الملك فيصل,شارع فيصل / Faisal St.,بنك فيصل (شارع عثمان بن عفان) / Faisal Bank (Othman Bin Affan St.),أول فيصل / Awwal Makram Ebeid,
1,ش نجيب الريحاني,نادي العبور الرياضي / Obour Sporting Club,جاردينيا (طريق القاهرة السويس) / Gardenia (Cairo Suez Rd.),مستشفى الريان (المعادي) / Al Rayan Hospital (Maadi),
1,"محطة العتبة ""الجراج""",محطة التعاون للمحروقات (شارع الشباب العبور) / Al Taawon Gas Station (Al Shabab St. Obour),محطة حافلات الجيزة حلوان / Giza Helwan Bus Station,محطة التعاون (المطرية) / Taawon (Al Matareyya),
1,ش سليم الأول,سلم الخولي (الطريق الدائري) / Al Khouly Steps (Ring Rd.),سلم الباسوس (الطريق الدائري) / Al Bassous Steps - Ring Road,سلم البراجيل (الطريق الدائري) / Al Barageel Steps (Ring Rd.),
1,خضر التوني,شارع برم التونسي ( ابو الريش ) / Berm Al Tounsi St ( Abou Al Reesh ),مركز التوثيق (بولاق) / Documentation Center (Bolak),دار المنى (طريق الاسكندرية الصحراوي) / Dar Al Mona (Alexandria Desert Rd.),
1,الحي الثامن ( التبة ),إمبابة / Imbaba,مسجد التوبة (أبو النمرس) / Al Tawba Mosque (Abu Al Nomros),الحي الثامن  (السادس من أكتوبر) / 8th District (6th of October),
1,السفارات,السادات / Sadat,حي الوزارات (العاصمة الإدارية الجديدة) / Wizarat District (New Administrative Capital),السبع عمارات / 7 Omarat,
1,شارع قد ري,قدري باشا (السيدة زينب) / Qadry Basha (Al Sayeda Zeinab),البدرشين / Badrashen,ميدان الدقي / Dokki Square,
1,شارع مصطبة المحمل,الطوب الرملي / Al Toob Al Ramly,قسم شرطة الساحل / Al Sahel Police Department,المنطقة الحرة (مدينة نصر) / Free Zone (Nasr City),
1,ترعة الزمر,طريق ترعة المنصورية (ناهيا) / Al Mansoureya Canal Rd. (Nahya),شارع ترعة المريوطية / Teraat Al Marioteyya St.,محور ترعة الطوارئ / Teraat Taware' Axis,
1,ش 9,,,,
1,السودان ميدان لبنان,مسجد البنات / Al Banat Mosque,,,
1,محطة قطارات بشتيل,,,,
1,موقف الرماية الجديد,موثق المرج الجديد / New Marg Station,موقف الرماية ٢٨ / Remaya 28,موقف التجمع الخامس الجديد / New terminal of 5th settlement,
1,اسكان الخيالة الجديد,نادى القاهرة الجديدة / New Cairo Sporting Club,أكاديمية القاهرة الجديدة / New Cairo Academy,العمرانية الجديدة / Al Omraneyya Al Gadida,
1,طريق الفنجري,,,,
1,كوبري الملك فيصل,شارع فيصل / Faisal St.,بنك فيصل (شارع عثمان بن عفان) / Faisal Bank (Othman Bin Affan St.),أول فيصل / Awwal Makram Ebeid,
1,طريق مصر/ الاسكندرية الزراعي,سلم طريق الاسكندرية الصحراوى (محور 26 يوليو) / Alexandria Desert Rd. Steps (26th of July Corrdior),المحور مع اسكندرية الصحراوي / 26th of July Corridor & Alex Desert Rd.,ميت حلفا ( طريق القاهرة الاسكندرة الزراعي ) / Mit Halfa ( Cairo Alexandria Agriculture Rd. ),
1,شارع احمد تيسير,شارع احمد ذكي (المعادي) / Ahmed Zaki St. (Maadi),ميدان أحمد إسماعيل (ألف مسكن) / Ahmed Ismail Square (Alf Maskan),أحمد حلمي / Ahmed Helmy,
1,"الجامعة الامريكية ""اللوتس"" ش التسعين",الجامعة المصرية الروسية / Egyptian Russian University,الجامعة الأمريكية بوابة 1 / American University in Cairo (AUC) Gate 1 (New Cairo),الجامعة الكندية الدولية (الشيخ زايد) / CIC - Sheikh Zayed,
1,ش امتداد رمسيس م العباسية ش رمسيس ش الجلاء محطة عبد المنعم رياض(2),امتداد رمسيس (شمال شارع النصر) / Ramses Extension (North of Nasr Rd.),,,
1,ش نهضة مصر,ميدان النهضة (التجمع الخامس) / Al Nahda Square (5th Settlement),بنك مصر (عباس العقاد) / Banque Misr (Abbas Al Akkad St.),ميدان النهضة (الشروق) / Al Nahda Square (Shorouq City),
1,كوبري الفجري,الفرجاني ( شارع عين شمس ) / Al Faragany (Ain Shams St.),الجزارين (الوراق) / Al Gazareen (Warraq),الكفر (برك الخيام) / El Kafr (Birak Al Khiyam),
1,شارع مراد,الزمرد (القاهرة الجديدة) / Emerald (New Cairo),المعادي / Maadi,مسطرد / Mostorod,
1,شارع السراى,عرايس (المعادي) / Arayes (Maadi),كوبري عرابي / Kobry Orabi,ميدان سيراميكا (الشيخ زايد) / Ceramica Square - Sheikh Zayed,
1,ميدان البعوث,البحوث / Bohooth,,,
1,القللي,قليوب / Qalyub,القلج (المرج) / Al Qalag (Marg),ميدان الدقي / Dokki Square,
1,مشتهر,مترو (طريق مصر حلوان) / Metro (Misr Helwan Rd.),منتصر (كورنيش النيل) / Montasser (Nile Corniche),المختار (شارع الهرم) / Al Mokhtabar (Haram St.),
1,مرصفا,ميدان الصفا (الشيخ زايد) / Al Safa Square (Sheikh Zayed),مدرسة الصفا (وادي حوف) / Al Safa School (Wadi Hof),المفارق / Mafareq,
1,زاوية ابو مسلم,الزاوية الحمراء / Al Zawya Al Hamra,فايدة كامل / Fayda Kamel,طموه (أبو النمرس) / Tomwa (Abu Al Nomros),
1,عتبة (الجنينة) إبراهيم بك 1,إبراهيم بك / Ibrahim Bek,مركز شباب إبراهيم بك / Ibrahim Bek Youth Center,,
1,ميدان الساعة التعريفة,مسجد رابعة العدوية / Rabaah Al Adaweya Mosque,ميدان باب الشعرية / Bab Al Shaaria Square,المدرسة التجريبية (بهتيم) / Experimental School (Bahteem),
1,طريق القاهرة / الصعيد,نادى القاهرة الجديدة / New Cairo Sporting Club,الزمرد (القاهرة الجديدة) / Emerald (New Cairo),المقابر (المعادي) / Cemeteries (Maadi),
1,كوم اشفين,الحي الحكومي / Governmental District,الجومان / Al Juman,مطار سفينكس / Sphinx Airport,
1,طريق بلقس,,,,
1,بين السرايات,جيهان السادات / Jehan el Sadat,مركز شباب السرايات / Bein Al Sarayat Youth Center,ميدان أنور السادات (6 أكتوبر) / Anwar Al Sadat Square (6th of October),
1,شارع نهضة مصر,ميدان النهضة (التجمع الخامس) / Al Nahda Square (5th Settlement),بنك مصر (عباس العقاد) / Banque Misr (Abbas Al Akkad St.),ميدان النهضة (الشروق) / Al Nahda Square (Shorouq City),
1,مصر / الاسكندرية الزراعي,سلم طريق الاسكندرية الصحراوى (محور 26 يوليو) / Alexandria Desert Rd. Steps (26th of July Corrdior),المحور مع اسكندرية الصحراوي / 26th of July Corridor & Alex Desert Rd.,ميت حلفا ( طريق القاهرة الاسكندرة الزراعي ) / Mit Halfa ( Cairo Alexandria Agriculture Rd. ),
1,شارع نجيب الريحاني,نادي العبور الرياضي / Obour Sporting Club,جاردينيا (طريق القاهرة السويس) / Gardenia (Cairo Suez Rd.),مستشفى الريان (المعادي) / Al Rayan Hospital (Maadi),
1,طريق منيا القمح,الأمن القومي (طريق الإسكندرية الصحراوي) / National Security (Alexandria Desert Rd.),نيسان (القطامية) / Nissan (Kattameya),منشية الجمل / Manshiyat Al Gamal,
1,"القاهرة/اسكندرية ""الزراعى""",ميت حلفا ( طريق القاهرة الاسكندرة الزراعي ) / Mit Halfa ( Cairo Alexandria Agriculture Rd. ),قليوب مخرج (طريق القاهرة الإسكندرية الزراعي) / Qalyub Exit (Cairo Alexandria Agriculture Rd.),خطوات ميت ناما (طريق القاهرة الإسكندرية الزراعي) / Mit Nama Steps (Cairo Alexandria Agriculture Rd.),
1,السد,الحي السادس (6 أكتوبر) / 6th District (6th of October),مسطرد / Mostorod,السويدي (ليلة القدر) / Al Sewedy (Laylat Al Qadr),
1,الزهويين,طريق زويل (طريق الواحات) / Zewail Rd. (Wahat Rd.),زنين / Zenin,,
1,طريق شبين القناطر/قليوب,نزلة قليوب / Qalyoub Exit,البنك الاهلي (شارع النادي الجديد) / Ahli Bank (Al Nadi Al Gedid St.),,
1,القاهرة / اسكندريه الزراعى,ميت حلفا ( طريق القاهرة الاسكندرة الزراعي ) / Mit Halfa ( Cairo Alexandria Agriculture Rd. ),قليوب مخرج (طريق القاهرة الإسكندرية الزراعي) / Qalyub Exit (Cairo Alexandria Agriculture Rd.),المحور مع اسكندرية الصحراوي / 26th of July Corridor & Alex Desert Rd.,
1,وردان,شارع السودان (ارض اللواء) / Sudan St. (Ard Al Lewa),الوراق / Al Warraq,فودافون (أحمد الزمر) / Vodafone (Ahmed Al Zomor St.),
1,منشأة القناطر,منشية ناصر / Manshiyat Nasser,مؤمن (شارع النصر) / Moemen (Nasr St.),منشية الصدر / Manshiet El-Sadr,
1,الجامعة الأمريكية النزهة الجديدة,الجامعة الأمريكية بوابة 1 / American University in Cairo (AUC) Gate 1 (New Cairo),المدرسة الأمريكية (الشيخ زايد) / American School (Sheikh Zayed),جامعة القاهرة (الشيخ زايد) / Cairo University (Sheikh Zayed),
1,مساكن ال 70 فدان,فودافون (أحمد الزمر) / Vodafone (Ahmed Al Zomor St.),,,
1,الألف مصنع بالقاهرة الجديدة النزهة الجديدة,نادى القاهرة الجديدة / New Cairo Sporting Club,الزمرد (القاهرة الجديدة) / Emerald (New Cairo),أكاديمية القاهرة الجديدة / New Cairo Academy,
1,الجامعة الأمريكية التعريفة,الجامعة المصرية الروسية / Egyptian Russian University,الجامعة الأمريكية بوابة 1 / American University in Cairo (AUC) Gate 1 (New Cairo),الجامعة المصرية الروسية - شرق / Egyptian Russian University - East,
1,التسعين,متسيان / Motseian,التبين / Al Tibeen,التعاون (شارع الهرم) / Al Taawon (Haram St),
1,الألف مصنع بالقاهرة الجديدة العباسية,مسجد القبة الفدوية ( العباسية) / Al Qobba Al Fidaweyya Mosque (Abbaseya),سجل الأدلة الجنائية ( العباسية ) / Criminal Evidence Registery (Abbaseya),نادى القاهرة الجديدة / New Cairo Sporting Club,
1,شارع,بشاير / Kawkab Al Sharq Cafe - Bashayer,حي الأشجار / Al Ashgar District,سلم شارع 10 (الطريق الدائري) / 10 St. Steps (Ring Rd.),
1,العتبة (الجراج) مساكن الأسمرات بالمقطم,,,,
1,المنعم رياض (2) الخصوص,عبد المنعم رياض / Abd Al Moneim Riad,,,
1,قسم الحدائق العمرانية,سلم العمرانية (الطريق الدائري) / Al Omraneyya Steps (Ring Rd.),حدائق المعادي / Hadayek El-Maadi,حدائق العاصمة / Hadayek al-Assema,
1,الصالح,الصالة 4 (مطار القاهرة) / Hall 4 (Cairo Airport),الصالة 3 (مطار القاهرة) / Hall 3 (Cairo Airport),الصالة 1 (مطار القاهرة) / Hall 1 (Cairo Airport),
1,بشتيل الدراسة,بشتيل البلد / Bashtil El Balad,مستشفى الحسين ( الدراسة ) / Al Hussein Hospital (Al Darraasa),مخرج بشتيل من الدائري / Ring Rd. Exit to Bashtil,
1,الريش,العريش (شارع الهرم) / Al Areesh (Haram St.),ميدان الجيش / Al Geish Square,صقر قريش / Saqr Quraish,
1,ابو,شارع مساكن اسبيكو / Masaken Isbiko St.,ماسبيرو / Maspero,باب جونز (شارع بطل احمد) / Papa Jones (Batal Ahmed St.),
1,جيزة موتسيان,متسيان / Motseian,كوتسيكا / Kozzika,خير زمان (أحمد الزمر) / Kheir Zaman (Ahmed Al Zomor St.),
